,start_value,bottom_value,difference,percent_diff
1908,101066.67,89133.33,-11933.339999999997,-0.11807394069676973
1909,195100.0,189433.33,-5666.670000000013,-0.029044951307022105
1910,83733.33,86300.0,2566.6699999999983,0.03065290727121444
1911,217166.67,148233.33,-68933.34000000003,-0.31742136120611886
1912,428866.67,426333.33,-2533.3399999999674,-0.005907057314572773
1913,170866.67,174533.33,3666.6599999999744,0.021459188032399615
1914,106566.67,87466.67,-19100.0,-0.17923052301437215
1915,107400.0,102666.67,-4733.330000000002,-0.044071973929236515
1916,148400.0,148700.0,300.0,0.0020215633423180594
1917,210366.67,189000.0,-21366.670000000013,-0.1015687038255633
1918,360466.67,319100.0,-41366.669999999984,-0.1147586543854387
1920,178200.0,164433.33,-13766.670000000013,-0.07725404040404048
1921,283733.33,234233.33,-49500.00000000003,-0.17445958851573773
1922,333333.33,317466.67,-15866.660000000033,-0.0475999804759999
1923,82700.0,82100.0,-600.0,-0.007255139056831923
1924,124433.33,121766.67,-2666.6600000000035,-0.02143043186258861
1925,473900.0,381500.0,-92400.0,-0.19497784342688332
1926,124133.33,126133.33,2000.0,0.016111708273676376
1927,108033.33,98566.67,-9466.660000000003,-0.08762721652660344
1928,538933.33,529900.0,-9033.329999999958,-0.016761498124452535
1929,281766.67,261333.33,-20433.339999999997,-0.07251865524052223
1930,782600.0,755733.33,-26866.670000000042,-0.03433001533350376
1931,383966.67,358500.0,-25466.669999999984,-0.06632520994595699
1933,104800.0,105833.33,1033.3300000000017,0.009860019083969482
1934,214533.33,193633.33,-20900.0,-0.09742075974861343
1935,268266.67,237066.67,-31199.99999999997,-0.11630218543362085
1937,103400.0,93666.67,-9733.330000000002,-0.09413278529980659
1938,376333.33,357733.33,-18600.0,-0.04942426970260646
1939,176066.67,164633.33,-11433.340000000026,-0.06493756030031138
1940,619500.0,603866.67,-15633.329999999958,-0.02523539951573843
1941,278600.0,272900.0,-5700.0,-0.020459440057430008
1942,140533.33,134766.67,-5766.659999999974,-0.04103410913268742
1943,391833.33,394000.0,2166.6699999999837,0.005529570442616465
1944,152566.67,150166.67,-2400.0,-0.01573082770961705
1945,208166.67,162033.33,-46133.340000000026,-0.22161732231197254
1946,203033.33,179633.33,-23400.0,-0.11525201305618148
1947,358366.67,349466.67,-8900.0,-0.024834898848154603
1948,59433.33,53966.67,-5466.6600000000035,-0.09197970229835689
1949,554966.67,472933.33,-82033.34000000003,-0.14781669681172027
1950,88766.67,103400.0,14633.330000000002,0.1648516273056092
1951,804400.0,743833.33,-60566.67000000004,-0.07529421929388369
1952,82033.33,84066.67,2033.3399999999965,0.02478675435947799
1953,336700.0,328233.33,-8466.669999999984,-0.025146035046035
1954,555500.0,514866.67,-40633.330000000016,-0.07314730873087312
1955,446466.67,425433.33,-21033.339999999967,-0.04711066113848984
1956,169666.67,171766.67,2100.0,0.012377209972942829
1957,159233.33,141166.67,-18066.659999999974,-0.11346029125937375
1958,452233.33,413433.33,-38800.0,-0.08579641841082346
1959,424133.33,403666.67,-20466.660000000033,-0.048255250300654355
1960,234600.0,222600.0,-12000.0,-0.05115089514066496
1961,237100.0,231366.67,-5733.329999999987,-0.024181062842682358
1962,175366.67,175500.0,133.3299999999872,0.0007602927055636467
1963,65733.33,63800.0,-1933.3300000000017,-0.029411715487409534
1964,145166.67,131133.33,-14033.340000000026,-0.0966705373898845
1965,178200.0,162433.33,-15766.670000000013,-0.08847738496071837
1967,210600.0,202800.0,-7800.0,-0.037037037037037035
1968,154266.67,131333.33,-22933.340000000026,-0.1486603684386266
1969,388966.67,376800.0,-12166.669999999984,-0.03127946669569397
1970,190066.67,173333.33,-16733.340000000026,-0.08803931799299701
1971,135800.0,133166.67,-2633.329999999987,-0.019391237113401967
1972,143433.33,144133.33,700.0,0.00488031617198039
1973,153833.33,146833.33,-7000.0,-0.04550379296866291
1974,441566.67,411300.0,-30266.669999999984,-0.06854382827399537
1975,252933.33,255633.33,2700.0,0.010674749745318263
1976,113100.0,100833.33,-12266.669999999998,-0.10845862068965516
1977,121333.33,113233.33,-8100.0,-0.06675824359225944
1978,314300.0,292466.67,-21833.330000000016,-0.06946652879414578
1979,250733.33,234366.67,-16366.659999999974,-0.0652751670469976
1980,375366.67,356666.67,-18700.0,-0.04981795533418031
1981,150500.0,136866.67,-13633.329999999987,-0.09058691029900323
1983,153866.67,140566.67,-13300.0,-0.08643847299743342
1984,295300.0,273466.67,-21833.330000000016,-0.07393609888249243
1985,309566.67,279466.67,-30100.0,-0.09723268981121257
1986,654900.0,637200.0,-17700.0,-0.02702702702702703
1987,85366.67,92266.67,6900.0,0.08082779848388136
1988,455333.33,449200.0,-6133.330000000016,-0.013469978136676303
1989,101233.33,90166.67,-11066.660000000003,-0.10931834406711706
1990,226033.33,153000.0,-73033.32999999999,-0.3231086760523326
1991,347600.0,269700.0,-77900.0,-0.22410817031070196
1993,322466.67,281333.33,-41133.33999999997,-0.1275584233248043
1995,317000.0,282466.67,-34533.330000000016,-0.10893794952681393
