,start_value,bottom_value,difference,percent_diff
35,105233.33,110666.67,5433.3399999999965,0.05163136052047385
36,156400.0,135200.0,-21200.0,-0.13554987212276215
37,112833.33,106800.0,-6033.330000000002,-0.053471168492501296
38,325300.0,236266.67,-89033.32999999999,-0.2736960651706117
39,296133.33,272000.0,-24133.330000000016,-0.081494811813314
40,202066.67,167566.67,-34500.0,-0.17073572796542844
41,76400.0,71066.67,-5333.330000000002,-0.06980798429319374
42,141800.0,139833.33,-1966.6700000000128,-0.013869322990127029
43,179166.67,169800.0,-9366.670000000013,-0.052279087399458905
44,207633.33,160500.0,-47133.32999999999,-0.22700271676035821
45,205700.0,157666.67,-48033.32999999999,-0.23351157024793381
46,125100.0,116566.67,-8533.330000000002,-0.06821207034372503
47,93633.33,104900.0,11266.669999999998,0.12032755857342677
48,161800.0,157200.0,-4600.0,-0.02843016069221261
49,168566.67,144233.33,-24333.340000000026,-0.14435439698725747
50,118800.0,120100.0,1300.0,0.010942760942760943
51,97966.67,90333.33,-7633.3399999999965,-0.07791772446690284
52,128200.0,126333.33,-1866.6699999999983,-0.01456060842433696
53,194466.67,191433.33,-3033.3400000000256,-0.01559825136101742
54,163300.0,139333.33,-23966.670000000013,-0.14676466625842016
55,109700.0,115600.0,5900.0,0.053783044667274384
56,92300.0,99866.67,7566.669999999998,0.08197908992416032
57,112500.0,112500.0,0.0,0.0
58,58900.0,58200.0,-700.0,-0.011884550084889643
59,125166.67,120066.67,-5100.0,-0.04074567135164657
60,152966.67,144000.0,-8966.670000000013,-0.0586184559028448
61,397833.33,355966.67,-41866.66000000003,-0.10523668290939835
62,115033.33,108700.0,-6333.330000000002,-0.055056477979034436
63,261333.33,225833.33,-35500.0,-0.13584183846737038
64,154200.0,146700.0,-7500.0,-0.048638132295719845
65,89633.33,84700.0,-4933.330000000002,-0.055039012831499194
66,103500.0,93766.67,-9733.330000000002,-0.09404183574879228
67,177966.67,162366.67,-15600.0,-0.08765686293956053
68,72600.0,68333.33,-4266.669999999998,-0.05876955922865011
69,249933.33,270100.0,20166.670000000013,0.08068819792862367
70,77600.0,69466.67,-8133.330000000002,-0.10481095360824745
71,109733.33,106466.67,-3266.6600000000035,-0.0297690774534957
72,363300.0,268200.0,-95100.0,-0.2617671345995045
73,129333.33,128900.0,-433.33000000000175,-0.0033504897770744923
74,61900.0,67500.0,5600.0,0.09046849757673667
75,186800.0,164500.0,-22300.0,-0.11937901498929336
76,102533.33,106566.67,4033.3399999999965,0.03933686733864975
77,222166.67,217066.67,-5100.0,-0.022955738590311497
78,100200.0,91366.67,-8833.330000000002,-0.08815698602794413
79,112966.67,116366.67,3400.0,0.03009737296850478
80,98300.0,99833.33,1533.3300000000017,0.015598474059003069
81,60766.67,76133.33,15366.660000000003,0.252879744767979
82,106666.67,97566.67,-9100.0,-0.08531249733398447
83,145500.0,140833.33,-4666.670000000013,-0.03207333333333342
84,116800.0,104866.67,-11933.330000000002,-0.10216892123287673
85,119566.67,115066.67,-4500.0,-0.0376359063943154
86,138400.0,128500.0,-9900.0,-0.07153179190751445
87,120800.0,120766.67,-33.330000000001746,-0.0002759105960265045
88,85500.0,84300.0,-1200.0,-0.014035087719298246
89,76933.33,74966.67,-1966.6600000000035,-0.0255631726847129
90,200266.67,191366.67,-8900.0,-0.04444074493274392
91,67600.0,57233.33,-10366.669999999998,-0.1533531065088757
92,189300.0,173033.33,-16266.670000000013,-0.0859306391970418
93,159233.33,171000.0,11766.670000000013,0.07389577295155489
94,240000.0,227333.33,-12666.670000000013,-0.05277779166666672
95,132666.67,134533.33,1866.6599999999744,0.01407030115401234
96,200066.67,188433.33,-11633.340000000026,-0.05814731659201418
97,54833.33,45200.0,-9633.330000000002,-0.17568384046710278
98,101100.0,111866.67,10766.669999999998,0.10649525222551927
99,135833.33,134366.67,-1466.6599999999744,-0.010797497197484407
101,506833.33,464666.67,-42166.66000000003,-0.0831963043945828
102,121366.67,118233.33,-3133.3399999999965,-0.025817137439792956
103,183733.33,186500.0,2766.670000000013,0.01505807356781708
104,130333.33,123766.67,-6566.6600000000035,-0.05038358185124253
105,294333.33,229133.33,-65200.00000000003,-0.22151755630257716
106,105633.33,106333.33,700.0,0.0066266963277594295
107,87266.67,77533.33,-9733.339999999997,-0.11153559543408723
108,137133.33,131800.0,-5333.329999999987,-0.038891566331831856
